key,value
overview_link_intro,"LINK, die Abkürzung für Chainlink, ist das erste dezentrale Oracle-Netzwerk, das es jedem ermöglicht, Smart Contracts sicher Zugriff auf kritische externe Daten, Off-Chain-Zahlungen und alle anderen API-Funktionen zu gewähren. Sein Zweck besteht darin, intelligente Verträge mit externen Datenquellen und realen Informationen zu verbinden.

Chainlink nutzt ein verteiltes Netzwerk von Knoten, um Datendienste bereitzustellen. Diese Knoten, sogenannte On-Chain-Knoten, sind dafür verantwortlich, Daten aus externen Datenquellen abzurufen und an Smart Contracts zu übermitteln. Datenvalidierungs- und Konsensmechanismen zwischen den Knoten gewährleisten die Genauigkeit und Sicherheit der Daten.

Der LINK-Token wird zur Bezahlung der von On-Chain-Knoten bereitgestellten Dienste verwendet. Knoten sperren eine bestimmte Menge an LINK, um Datendienste anzubieten und entsprechende Belohnungen zu erhalten. Darüber hinaus wird der LINK-Token auch für die On-Chain-Governance verwendet, bei der Inhaber an der Entscheidungsfindung und Abstimmung über Vorschläge innerhalb des Chainlink-Netzwerks teilnehmen können.

Das Chainlink-Projekt wurde 2014 von Sergey Nazarov und Steve Ellis mitbegründet. Das Chainlink-Mainnet wurde im Mai 2019 offiziell gestartet. Derzeit arbeitet Chainlink mit Google Cloud und Amazon Web Services zusammen. Chainlink-Dienste sind in die Google Cloud Platform und die Google Cloud Platform integriert."
overview_link_intro_title,CHAINLINK-EINFÜHRUNG
overview_link_qa,"Entdecken Sie die Tokenomics von Chainlink (LINK) und sehen Sie sich die Projektdetails unten an.

Wie hoch ist die Zuteilung für Chainlink (LINK)?
- 35 % wurden für den öffentlichen Token-Verkauf bereitgestellt
- 35 % wurden Node Operators & Ecosystem zugewiesen
- 30 % wurden dem Unternehmen zugewiesen

Wie sieht der Lieferplan für Chainlink (LINK) aus?
Die Wirtschaftsstruktur von Chainlink basiert auf dem LINK-Token, der zum Betrieb verschiedener Oracle-Dienste verwendet wird, die von Smart-Contract-Entwicklern und Web2-Systemen benötigt werden. LINK fungiert auch als Belohnung für die korrekte Ausführung von Oracle-Diensten. Die Angebotsseite umfasst die Einführung und Verbesserung von Oracle-Diensten, um die Nutzung von Chainlink-fähigen Smart Contracts und Web2-Systemen zu fördern. Andererseits zahlen Benutzer in LINK, um auf Oracle-Dienste zuzugreifen. Trotz der Bemühungen von Chainlink, so dezentral wie möglich zu sein, wurde es dafür kritisiert, dass es auf eine kleine Anzahl vertrauenswürdiger Knotenpunkte angewiesen ist. Ziel des LINK-Einsatzes ist es jedoch, dieses Problem zu lösen."
overview_link_qa_title,Fragen und Antworten zu Chainlink Tokenomics
overview_link_title,Über Chainlink
overview_ltc_intro,"Litecoin (LTC), oft als das Silber zum Gold von Bitcoin bezeichnet, ist eine Peer-to-Peer-Kryptowährung, die 2011 von Charlie Lee, einem ehemaligen Google-Ingenieur, entwickelt wurde. Es war einer der ersten Altcoins und wurde entwickelt, um die Technologie von Bitcoin durch schnellere Transaktionszeiten, niedrigere Gebühren und einen demokratischeren Mining-Prozess zu verbessern.

Litecoin arbeitet in einem dezentralen globalen Open-Source-Zahlungsnetzwerk, das „Scrypt“ als Arbeitsnachweis verwendet. Dieser Algorithmus kann mit Hilfe von CPUs der Verbraucherklasse dekodiert werden. Während Bitcoin den SHA-256-Hashing-Algorithmus verwendet, der erhebliche Rechenleistung erfordert, verwendet Litecoin den speicherintensiven Scrypt-Algorithmus. Dieser Unterschied macht Litecoin für Benutzer zugänglicher, die die Kryptowährung mit ihren PCs schürfen möchten.

Am 2. August 2023 schloss Litecoin seine dritte Blockbelohnung bei einer Blockhöhe von 2520000 ab, wobei die aktuelle Blockbelohnung nun bei 6,25 LTC liegt.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_ltc_intro_title,LITECOIN-EINFÜHRUNG
overview_ltc_qa,"Entdecken Sie die Tokenomics von Litecoin (LTC) und sehen Sie sich die Projektdetails unten an.

Wie sieht der Zuteilungs- und Lieferplan für Litecoin (LTC) aus?
Der Vorrat an Litecoin ist auf eine feste Obergrenze von 84.000.000 Münzen programmiert, die jemals geschürft werden. Am 7. Oktober 2011 startete das Litecoin-Netzwerk mit dem sogenannten Genesis-Block. Miner, die Transaktionen validieren, erhielten früher eine volle Belohnung für alle 840.000 verarbeiteten Blöcke, was etwa alle vier Jahre der Fall war.

Etwa 500.000 LTC wurden am ersten Tag nach dem Mining des LTC-Genesis-Blocks instaminiert, und Charlie Lee und vermutlich andere frühe Litecoin-Entwickler gehörten zu den ersten Minern. Dennoch erhalten Litecoin-Entwickler oder Charlie Lee als fair verteiltes Asset keine direkten Gewinne aus dem Betrieb von Litecoin – abgesehen von dem, was sie im Rahmen des regulären Mining-Prozesses verdienen könnten.

Dieser als „Halbierung“ bezeichnete Prozess bedeutet, dass die Belohnungen für Miner halbiert werden. Dies wird weiterhin alle 840.000 Blöcke geschehen, bis alle 84 Millionen Litecoins erstellt wurden, was voraussichtlich um das Jahr 2142 herum der Fall sein wird. Sobald diese 84 Millionen Litecoins erstellt sind, wird es keine neuen mehr geben. Von da an verdienen die Miner Geld mit den für Transaktionen gezahlten Gebühren."
overview_ltc_qa_title,Fragen und Antworten zu Litecoin Tokenomics
overview_ltc_title,Über Litecoin
overview_mag7ssi_intro,"MAG7.SSI ​​ist ein von SoSoValue entwickeltes Flaggschiff-Investmentprodukt, das darauf ausgelegt ist, systematische β-Renditen in der Kryptoindustrie zu erzielen, indem es einen starken gesellschaftlichen Konsens, reichlich Liquidität und eine hohe Risikoresistenz nutzt. Das Portfolio umfasst 7 Top-Token nach Marktkapitalisierung und bietet ein diversifiziertes Engagement in den robustesten und einflussreichsten Vermögenswerten im Kryptobereich.

Hauptmerkmale:

Strategische Allokation: Eine anfängliche Allokation mit gleicher Gewichtung von 10 % bietet ein sinnvolles Engagement in zweitrangigen Marktführern jenseits von Bitcoin und Ethereum und ermöglicht es Anlegern, in den nächsten vier Jahren potenzielles Wachstum aus aufstrebenden Token mit einer Marktkapitalisierung von 100 Milliarden US-Dollar zu erzielen.

Ausgewogene Strategie: MAG7.SSI ​​stellt sicher, dass Anleger grundlegende Erträge aus etablierten Kryptomärkten erzielen und bietet gleichzeitig die Möglichkeit, vom Aufstieg neuer Branchenführer zu profitieren.

Dynamisches Rebalancing: Das Portfolio nutzt einen monatlichen Rebalancing-Mechanismus mit Puffereinstellung, der die rechtzeitige Einbeziehung aufstrebender Marktführer ermöglicht und gleichzeitig die durch häufige Rebalancing verursachten Transaktionsreibungen minimiert.

Als Flaggschiff-Krypto-Investmentprodukt von SoSoValue bietet MAG7.SSI ​​einen doppelten Vorteil: langfristige Grundrenditen und Möglichkeiten, überschüssige Gewinne in der sich ständig weiterentwickelnden Krypto-Landschaft zu erzielen, was es Anlegern ermöglicht, in dieser dynamischen Branche an der Spitze zu bleiben."
overview_mag7ssi_intro_title,MAG7.SSI ​​INTRO
overview_mag7ssi_title,Über MAG7.ssi
overview_sol_intro,"Solana (SOL) ist eine leistungsstarke Open-Source-Blockchain-Plattform. Solana wurde 2017 von Anatoly Yakovenko, einem ehemaligen Qualcomm-Ingenieur, gegründet und zielt darauf ab, die Skalierbarkeit der Blockchain mithilfe eines neuartigen Zeitstempelsystems namens Proof of History (PoH) zu verbessern. Im Gegensatz zu herkömmlichen Blockchains, die auf Proof-of-Work- oder Proof-of-Stake-Konsensmechanismen basieren, ermöglicht Solanas PoH eine höhere Geschwindigkeit und Effizienz. Solanas native Kryptowährung SOL wird für Transaktionsgebühren und Einsätze in seinem Netzwerk verwendet. Es dient auch als Governance-Token und ermöglicht es den Inhabern, über Änderungen am Netzwerkprotokoll abzustimmen.

Obwohl Solana anfangs als „Ethereum-Killer“ bezeichnet wurde und eine hervorragende Leistung erbrachte, erlebte es viele Ausfallzeiten, die jedes Mal zu einem deutlichen Rückgang des Token-Preises führten. Darüber hinaus ist im November 2022 mit dem Zusammenbruch von FTX auch Solana, ein von FTX Ventures und Alameda investiertes Projekt, das sich am ökologischen Bauen beteiligt, stark betroffen.

Darüber hinaus reichte die SEC im Juni 2023 Klagen gegen Binance und Coinbase ein, in denen der SOL-Token in beiden Fällen als Wertpapier definiert wurde. Obwohl sich der Liquiditätseinsatz im Solana-Ökosystem in letzter Zeit stark entwickelt hat, ist seine Marktkapitalisierung noch weit vom historischen Höchststand entfernt.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_sol_intro_title,SOLANA INTRO
overview_sol_title,Über Solana
overview_soso_intro,"SoSoValue ist eine KI-gesteuerte All-in-One-Krypto-Finanzdienstleistungsplattform mit zig Millionen Nutzern weltweit. Geleitet von der Mission, „Kryptoinvestitionen für jedermann zugänglich zu machen“, nutzt SoSoValue KI, um Marktgeräusche zu filtern, Alpha-Chancen zu identifizieren und eine effiziente Risikopreisgestaltung für Anleger zu ermöglichen.

Die Plattform bietet drei Kerndienste, um die Masseneinführung von Krypto-Assets zu ermöglichen:
1. Ein KI-gestütztes Investment-Research-Terminal, das Kryptomärkte leicht verständlich macht;
2. SSI, eine sichere und benutzerfreundliche On-Chain-Lösung für passive Indexinvestitionen;
3. SoDEX, eine leistungsstarke dezentrale Handelskette mit geringer Latenz, die ein nahtloses Handelserlebnis bietet.

Ziel von SoSoValue ist es, die institutionelle Strenge des traditionellen Finanzwesens tiefgreifend mit der radikalen Transparenz von Web3 zu verbinden und es alltäglichen Benutzern zu ermöglichen, durch die durch die Kryptotechnologie ausgelöste Finanzrevolution auf einfache, faire und erlaubnislose Weise an der globalen Kernvermögensallokation teilzunehmen.

$SOSO ist der native Plattform-Token von SoSoValue und dient auch als nativer Gas- und Governance-Token seines inkubierten Hochleistungs-Layer-1-Mainnets ValueChain.

$SOSO ist an mehreren zentralen Börsen notiert, darunter SoDEX, Kraken, Bybit und Bitvavo, und wird in drei öffentlichen Blockchains eingesetzt und zirkuliert aktiv: ValueChain, Ethereum und Base."
overview_soso_intro_title,SOSOVALUE INTRO
overview_soso_qa,"Entdecken Sie die Tokenomics von SoSoValue (SOSO) und sehen Sie sich die Projektdetails unten an.

Wie hoch ist die Zuteilung für SoSoValue (SOSO)?
- Hauptbeitragende (33 %): Wird dem SoSoValue-Team und den Beratern zugewiesen, die zur Produktentwicklung und zum Wachstum des Ökosystems beitragen.
- Partner (3,5 %): Wird strategischen Partnern zugewiesen, die die langfristige Entwicklung des SoSoValue-Ökosystems unterstützen.
- Stiftung (17 %): Widmet sich Initiativen, die das Wachstum, die Akzeptanz und die Infrastruktur von SoSoValue fördern.
- Ökosystem und Airdrop (30 %): Unterstützt das Ökosystemwachstum und die Benutzereinbindung.
- Investoren (16,5 %): Wird Investoren zugeteilt, die die Entwicklung und Einführung von SoSoValue unterstützen.

Wie sieht der Lieferplan für SoSoValue (SOSO) aus?
- Kernbeitragende: 18-monatige Klippe, 36-monatige lineare monatliche Sperrfrist.
- Partner: 18-monatiges Cliff, 36-monatige lineare monatliche Sperrfrist.
- Stiftung: 15 % bei TGE freigegeben, 60-monatige lineare monatliche Sperrfrist.
- Ökosystem und Airdrop: 15 % werden bei TGE freigegeben, 60 Monate lineare monatliche Sperrfrist.
- Anleger: 12-monatiges Cliff, 18-monatige lineare monatliche Sperrfrist."
overview_soso_qa_title,Fragen und Antworten zu SoSoValue Tokenomics
overview_soso_title,Über SoSoValue
overview_uni_intro,"Uniswap ist das erste dezentrale Token-Austauschprotokoll, das auf Ethereum basiert und es Benutzern ermöglicht, Token direkt auszutauschen, ohne auf eine zentrale Börse angewiesen zu sein. Das Protokoll nutzt Liquiditätsanbieter (LPs), die Token in Liquiditätspools einzahlen. Der Handel mit Token-Paaren wird durch automatisierte Market Maker (AMM) erleichtert, und LPs erhalten als Gegenleistung für die Bereitstellung von Liquidität Transaktionsgebühren. Jeder ERC-20-Token kann bei Uniswap gelistet werden, solange ausreichend Liquidität vorhanden ist.

Uniswap wurde 2018 von Hayden Adams ins Leben gerufen und hat sich zur größten und beliebtesten dezentralen Börse entwickelt. Es hat ein Handelsvolumen von mehr als 2 Billionen US-Dollar ermöglicht und über 250 Millionen Transaktionen aufgezeichnet. Während des DeFi-Booms 2021 übertraf Uniswap sogar Coinbase beim Handelsvolumen und verarbeitet regelmäßig Milliarden an wöchentlichen Handelsvolumina bei Ethereum, Polygon, Arbitrum und Optimism.

Im Jahr 2023 führte Uniswap Uniswap V4 ein, das mehrere bedeutende Verbesserungen mit sich brachte: Hooks, die es Entwicklern ermöglichen, AMM-Pools mit dynamischen Gebühren anzupassen; Singleton Architecture reduziert die Gasgebühren für die Poolerstellung um bis zu 99 %; Native ETH-Unterstützung spart Benutzern Benzingebühren; und das UniswapX-Protokoll gewährleisten die bestmöglichen Preise für Benutzer.

Im April 2024 erhielt Uniswap eine Wells-Mitteilung der SEC, in der auf mögliche rechtliche Schritte hingewiesen wurde. Uniswap hat die Maßnahmen der SEC scharf angefochten und argumentiert, dass ihr dezentrales Protokoll nicht den aktuellen rechtlichen Definitionen einer Börse oder eines Broker-Dealers entspreche.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_uni_intro_title,UNISWAP-INTRO
overview_uni_title,Über Uniswap
overview_xaut_intro,"Tether Gold (XAUT) ist ein Gold-Stablecoin. Jeder XAUT-Token repräsentiert 1 Unze Gold, das in London geliefert werden kann.

Tether Gold ist ein Gold-Stablecoin, der am 23. Februar 2020 von TG Commodities Limited eingeführt wurde. Paul Adoino, Chief Technology Officer von Tether, sagte in einem Interview: „Diejenigen, die Tether Gold besitzen, suchen nach den inhärenten Vorteilen von Gold als Wertaufbewahrungsmittel sowie nach anderen wünschenswerten Merkmalen der Tokenisierung.“

Jeder XAUt repräsentiert den Besitz einer Feinunze physischen Goldes in einem bestimmten Goldbarren. Daher erhält der Inhaber unteilbares Eigentum am Gold des angegebenen Goldbarrens. Das zugeteilte Gold ist durch eine eindeutige Seriennummer, Reinheit und Gewicht identifizierbar. XAUt-Inhaber können sich jederzeit über die Look-up-Website nach den Details des Goldbarrens im Zusammenhang mit ihrer Adresse erkundigen.

XAUt kann als ERC-20-Token auf der Ethereum-Blockchain verwendet werden. Token können jederzeit und überall problemlos gehandelt oder verschoben werden. Inhaber von XAUt können einen Rücknahmeantrag in Form von physischem Gold stellen, sofern der Inhaber den Verifizierungsprozess von TG Commodities Ltd abgeschlossen hat und über den erforderlichen Mindestbetrag an XAUt verfügt.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_xaut_intro_title,TETHER GOLD EINFÜHRUNG
overview_xaut_title,Über Tether Gold
overview_xrp_intro,"Ripple (XRP) ist das weltweit erste offene Zahlungsnetzwerk. Ziel ist der Aufbau eines dezentralen Währungssystems, das es jedem ermöglicht, seine eigene Währung zu erstellen.

XRP ist eine Kryptowährung, die von Ripple Labs Inc. entwickelt wurde, einem Technologieunternehmen, das sich auf die Entwicklung und Integration von Zahlungs- und Echtzeit-Bruttoabrechnungssystemen spezialisiert hat. XRP wurde entwickelt, um schnellere und sicherere grenzüberschreitende Transaktionen zu ermöglichen und basiert auf einer dezentralen Open-Source- und Peer-to-Peer-Plattform, die einen nahtlosen Geldtransfer in jeder Form ermöglicht, sei es USD, Yen, Litecoin oder Bitcoin.

Einer der einzigartigen Aspekte von XRP ist, dass es nicht geschürft wird. Stattdessen gab Ripple Labs zu Beginn der Münze 100 Milliarden XRP aus, wobei ein Teil vom Unternehmen gehalten und der Rest an Benutzer und Investoren verteilt oder verkauft wurde. Außerdem werden XRP-Transaktionen im Gegensatz zu Bitcoin, das ein dezentrales System von Minern nutzt, die um die Lösung komplexer Algorithmen konkurrieren, von einem Netzwerk unabhängiger Server validiert, die Transaktionsdatensätze vergleichen. Dieser Konsensalgorithmus ermöglicht die Abwicklung von Transaktionen in etwa 3–5 Sekunden.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_xrp_intro_title,XRP-EINFÜHRUNG
overview_xrp_title,Über XRP
pending_value1,Ausstehend {{value1}}
perpetual_trading_with_up_to_20x,Perpetual Trading mit bis zu 20-facher Hebelwirkung ist jetzt im SoDEX Testnet verfügbar!
perps,Täter
please_enter_a_valid_formatdesc,Bitte geben Sie einen gültigen {{formatDesc}} ein.
please_input_amount,Bitte Betrag eingeben
please_re_copy_the_address_and,Bitte kopieren Sie die Adresse erneut und zahlen Sie kein Geld an die alte Adresse ein.
privacy_policy,Datenschutzrichtlinie
pro,Profi
proceed_anyway,Fahren Sie trotzdem fort
proceeding,Weiter
profit,Profitieren
pulldown,Pulldown
qr_code_expired_please_login_again,QR-Code abgelaufen. Bitte melden Sie sich erneut an
qr_code_expires_in_value1,QR-Code läuft in {{value1}} ab
rank_1_10_will_get_120,Rang 1-10 erhält jeweils 120.000.
rank_11_20_will_get_100,Rang 11–20 erhält jeweils 100.000.
rank_21_50_will_get_70,Rang 21–50 erhält jeweils 70.000.
rank_51_80_will_get_45,Rang 51–80 erhält jeweils 45.000.
rank_81_100_will_get_20,Rang 81–100 erhält jeweils 20.000.
rate_of_return,Rendite
reach_1_usdc_to_claim,"Erreichen Sie 1 USDC, um Anspruch zu erheben"
recent_withdrawals,Aktuelle Abhebungen
reduce_only,Nur reduzieren
referral_code,Empfehlungscode
referral_code_applied_successfully,Empfehlungscode erfolgreich angewendet!
referral_code_cannot_be_empty,Der Empfehlungscode darf nicht leer sein.
referral_code_created_successfully,Empfehlungscode erfolgreich erstellt!
referral_code_customized_successfully,Empfehlungscode erfolgreich angepasst!
referral_code_referralcode,Empfehlungscode: {{referralCode}}
referral_links_are_not_available_on,Empfehlungslinks sind im Testnet nicht verfügbar. Bitte nutzen Sie das Mainnet.
refresh_at_nextrefreshtime_utc,Aktualisieren um: {{nextRefreshTime}} (UTC)
refreshes_monday,Aktualisiert Montag
refund_address,Rückerstattungsadresse
refund_application_has_been_submitted_funds,Der Rückerstattungsantrag wurde eingereicht. Das Geld wird innerhalb von 24 Stunden zurückerstattet.
refunded,Erstattet
refunding,Rückerstattung
remainingcount_more_deposits_are_ongoing,{{remainingCount}} weitere Einzahlungen sind im Gange
remainingslots_slots_remaining,{{remainingSlots}} Verbleibende Slots
remember_me,Erinnere dich an mich
remove,Entfernen
remove_margin,Entfernen
remove_mfa,Entfernen Sie MFA
reward,Belohnen
rewards_will_be_credited_to_your,Prämien werden Ihrem Spot-Konto gutgeschrieben.
roi_is_calculated_using_the_formula,Der ROI wird nach folgender Formel berechnet:
safepal_wallet,SafePal-Wallet
same_address_as_deposit,Gleiche Adresse wie für die Kaution
scan_qr_code_on_your_mobile,Scannen Sie den QR-Code auf Ihrem Mobilgerät
search_coin,Suche nach Münzen
see_all,Alle anzeigen
see_the_docs_for_more,Weitere Informationen finden Sie in den Dokumenten.
sell_short,Verkaufen/Leerverkauf
send_crypto_to_your_sodex_account,Senden Sie Krypto an Ihr SoDEX-Konto.
share_your_earn,Teilen Sie Ihr Einkommen
share_your_luck,Teilen Sie Ihr Glück
side,Seite
signature_request_was_rejected_please_try,Unterschriftsanfrage wurde abgelehnt. Bitte versuchen Sie es später noch einmal.
signature_verification_failed_please_try_again,Die Signaturüberprüfung ist fehlgeschlagen. Bitte versuchen Sie es erneut.
sl_price_must_be_above_zero,Der SL-Preis muss über Null liegen.
sl_price_must_be_higher_than,"Der SL-Preis muss höher als der Mittelpreis sein. Um eine Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
sl_price_must_be_lower_than,"Der SL-Preis muss niedriger als der Grenzpreis sein. Um eine Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
sl_price_must_be_lower_than_2,"Der SL-Preis muss unter dem Mittelpreis liegen. Um eine Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
slippage_warning,Rutschwarnung
solana_address,Solana-Adresse
sort_by_value1,Sortieren nach <value1/>
soso_transfer_failed_please_try_again,Die SOSO-Übertragung ist fehlgeschlagen. Bitte versuchen Sie es erneut.
sosovalue_advanced_ai_powered_crypto_investment,SoSoValue – Fortschrittliche KI-gestützte Krypto-Investitionsforschungsplattform
spot_balance_is_not_enough,Das Spot-Guthaben reicht nicht aus
spread,Verbreiten
stake_soso,Setzen Sie SOSO ein
stake_to_earn,Einsatz zum Verdienen
start_earning_with_referrals,Verdienen Sie mit Empfehlungen
start_trading,Beginnen Sie mit dem Handel
stay_signed_in,Angemeldet bleiben?
stay_signed_in_desc,"Lassen Sie den Handel aktiviert, damit Sie ihn beim nächsten Mal nicht erneut aktivieren müssen. Verwenden Sie dies nicht auf einem öffentlichen oder gemeinsam genutzten Gerät."
step_1,Schritt 1
step_2,Schritt 2
submit_bug,Fehler einreichen
success,Erfolg
sui_address,SUI-Adresse
sum_priceunit,SUMME {{priceUnit}} :
sum_value1,SUMME {{value1}} :
suspicious,Verdächtig
switch_order_types_here,Wechseln Sie hier die Auftragsart
switch_to_see_deposits_and_withdrawals,"Wechseln Sie hier, um Ein- und Auszahlungsdatensätze anzuzeigen"
switch_to_see_latest_trades_here,"Wechseln Sie hier, um die neuesten Trades zu sehen"
switch_to_value1_to_deposit,"Wechseln Sie zu {{value1}}, um einzuzahlen"
take_limit,Nimm Limit
take_market,Nehmen Sie den Markt
take_profit_and_stop_loss_orders,"Take-Profit- und Stop-Loss-Orders decken standardmäßig automatisch Ihre gesamte Position ab. Take-Profit und Stop-Loss werden automatisch aufgehoben, wenn Sie die Position schließen, und das Erreichen Ihrer festgelegten Preise löst nach dem Schließen der Position eine Marktorder aus."
taker_orders_pay_a_takerfeestr_fee,Taker-Orders zahlen eine Gebühr von {{takerFeeStr}}. Für Maker-Bestellungen wird eine Gebühr von {{makerFeeStr}} erhoben.
terms,Bedingungen
testnet_users,Testnet-Benutzer
thank_you_for_your_efforts_during,"Vielen Dank für Ihren Einsatz während der Testnet-Phase! 🙏 Beantragen Sie jetzt die Closed Alpha-Whitelist und gehören Sie zu den Ersten, die mit echten Vermögenswerten handeln!"
the_cumulative_trading_volume_must_reach,Das kumulierte Handelsvolumen muss mindestens 30.000 USDC erreichen (basierend auf dem mittleren Handelsvolumen aller aktuellen Benutzer).
the_deposit_address_has_changed,Die Einzahlungsadresse hat sich geändert
the_max_buy_or_max_sell,"Der maximale Kauf- oder Verkaufsbetrag hängt von Ihrem verfügbaren Guthaben und dem Preis ab, zu dem Sie handeln möchten. Der maximale Kauf bzw. maximale Verkauf wird automatisch berechnet, wenn Sie einen Grenzpreis eingeben."
the_maximum_amount_of_availableinfounit_you,"Der maximale Betrag von {{availableInfoUnit}}, den Sie beim Handel mit dem aktuellen Paar ausgeben können."
the_maximum_amount_of_quotecoin_you,"Der maximale Betrag von {{quoteCoin}}, den Sie beim Handel mit aktuellem Leverage ausgeben können."
the_minimum_portfolio_value_required_to,"Der minimale Portfoliowert, der erforderlich ist, um Ihre Cross-Positionen offen zu halten"
the_qr_code_enables_mobile_trading,"Der QR-Code ermöglicht den mobilen Handel, jedoch keine Ein- und Auszahlungen. Bitte halten Sie diesen QR-Code zu Ihrer Sicherheit vertraulich und teilen Sie keine Screenshots mit. Wir empfehlen, alle Bildschirmfreigabeanwendungen zu schließen, während Sie diese Funktion verwenden."
the_rate_will_charge_every_hour,"Der Satz wird jede Stunde berechnet, zu der Long-Positionen Short-Positionen zahlen (bei negativem Kurs zahlen Short-Positionen Long-Positionen). Mit der Finanzierung sind keine Gebühren verbunden. Dabei handelt es sich um einen Peer-to-Peer-Transfer zwischen Benutzern, um die Preise in Richtung des Spotpreises zu drücken. Weitere Informationen finden Sie in den Dokumenten."
the_server_is_busy_please_try,Der Server ist beschäftigt. Bitte versuchen Sie es später noch einmal
the_user_s_spot_account_must,"Das Spot-Konto des Benutzers muss über Vermögenswerte im Gegenwert von 7.000 USDC verfügen, um sich für die Bestenliste zu qualifizieren."
this_address_has_been_identified_as,*Diese Adresse wurde als Hochrisikoadresse identifiziert. Überweisungen an diese Adresse können nicht bearbeitet werden.
this_limit_applies_only_during_alpha,Dieses Limit gilt nur während der Alpha-Phrase.
this_site_uses_cookies_to_ensure,"Diese Website verwendet Cookies, um die beste Benutzererfahrung zu gewährleisten. Diese Cookies sind für eine optimale Funktionalität unbedingt erforderlich bzw. unerlässlich. Durch die Nutzung dieser Website stimmen Sie der Cookie-Richtlinie zu."
this_token_is_not_currently_supported,Dieser Token wird derzeit nicht für den Futures-Handel unterstützt.
this_token_is_not_currently_supported_2,Dieser Token wird derzeit nicht für den Spothandel unterstützt.
this_will_attempt_to_immediately_close,"Dadurch wird versucht, die Position sofort zu schließen."
this_will_close_all_your_positions,This will close all your positions and cancel their associated TP/SL orders
this_will_modify_the_current_price,Dadurch wird der aktuelle Preis für Take-Profit oder Stop-Loss geändert.
this_will_open_an_order_to,Dadurch wird eine Order zum Schließen Ihrer Position zum Limitpreis eröffnet.
tigger,Tigger
token_contract,Token-Vertrag
ton_address,TON-Adresse
total_net_transfers_total_realized_profit,Gesamte Nettotransfers + Gesamter realisierter Gewinn + Gesamte Nettofinanzierungsgebühren – Marge + Nicht realisierter Gewinn
total_points,Gesamtpunktzahl
tp_price_must_be_above_zero,Der TP-Preis muss über Null liegen.
tp_price_must_be_higher_than,"Der TP-Preis muss höher als der Grenzpreis sein. Um eine Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
tp_price_must_be_higher_than_2,"Der TP-Preis muss höher als der mittlere Preis sein. Um eine Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
tp_price_must_be_lower_than,"Der TP-Preis muss niedriger als der Grenzpreis sein. Um eine Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
tp_price_must_be_lower_than_2,"Der TP-Preis muss niedriger als der mittlere Preis sein. Um eine Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
tp_sl_for_long_position,TP/SL für Long-Position
tp_sl_for_short_position,TP/SL für Short-Position
tp_sl_order_placed_waiting_to,"TP/SL-Auftrag aufgegeben, wartet auf Auslösung."
trade_guide,Handelsführer
trade_now,Jetzt handeln!
trade_to_earn,"Handeln, um zu verdienen"
trade_value,Handelswert
trade_with_limit_orders,Handeln Sie mit Limit-Orders
trading_volume_not_included_in_the,Handelsvolumen nicht im Leaderboard enthalten?
trading_volume_tradingvolume,Handelsvolumen: ( {{tradingVolume}} )
transaction_failed,Transaktion fehlgeschlagen
transaction_failed_please_try_again,Die Transaktion ist fehlgeschlagen. Bitte versuchen Sie es erneut.
transaction_failed_please_try_again_2,Die Transaktion ist fehlgeschlagen. Bitte versuchen Sie es erneut.
transaction_has_been_canceled,Die Transaktion wurde abgebrochen.
transaction_hash,Transaktions-Hash
transfer_asset_among_your_value1_spot,"Übertragen Sie Vermögenswerte auf Ihr {{value1}}Spot/Futures-Konto, um die Transaktion abzuschließen."
transfer_assets_between_your_evm_funding,Übertragen Sie Vermögenswerte zwischen Ihren EVM-Finanzierungs- und Spot-Guthaben.
transfer_desc_spot_to_futures,"Übertragen Sie Vermögenswerte von Ihrem Spot-/EVM-Finanzierungskonto auf Ihr Futures-Konto, um die Transaktion abzuschließen."
transfer_from_futures_account,Überweisung vom Futures-Konto
transfer_from_spot_account,Überweisung vom Spot-Konto
transfer_funds_from_binance_or_other,"Überweisen Sie Geld von Binance oder anderen Börsen, Ketten wie Solana und anderen Wallets"
transfer_funds_to_your_futures_account,Überweisen Sie Geld auf Ihr Futures-Konto und beginnen Sie sofort mit dem Handel!
transfer_in_progress_please_do_not,"*Übertragung läuft. Bitte schließen Sie dieses Fenster nicht. Das Schließen kann dazu führen, dass Gelder in der EVM-Finanzierung verbleiben und die Auszahlung nicht abgeschlossen werden kann."
transfer_to_from,Transfer nach/von
transferred_successfully,Erfolgreich übertragen.
